Date,Maximum_temp,Mean_temp,Minimum_temp,cloud_cover,sunshine,global_radiation,snow_depth,Pressure,Precipitation
20000101,10.8,7,4.9,7,0.4,18,0,102450,0
20000102,11.5,7.9,5,7,0.7,20,0,102530,0.2
20000103,9.5,9.4,7.2,8,0,13,0,101860,6
20000104,11,7,4.4,5,2.9,34,0,101480,0.2
20000105,10.8,6.4,1.9,5,1.3,25,0,101420,0.8
20000106,11,8.9,7,6,0.6,20,0,101270,0
20000107,9.2,7.2,3.4,6,2.2,31,0,101720,2
20000108,7.2,7.4,5.7,4,6.4,52,0,101650,0
20000109,7.8,3.2,-0.7,0,7.1,55,0,102760,0.2
20000110,10.2,2.2,-3.3,5,3.7,40,0,103470,0
20000111,8.2,5.4,0.6,7,0.1,16,0,103240,0
20000112,5,8,7.8,7,0,14,0,102340,2.8
20000113,6.3,3.8,2.7,7,0,14,0,101540,0.2
20000114,6.7,2.9,-0.5,6,4.2,45,0,102330,0.3
20000115,7.2,4.6,2.6,6,0.9,25,0,103640,0
20000116,8.6,4.7,2.2,6,3.9,44,0,104050,0
20000117,8.4,4.4,0.3,5,3.8,44,0,103790,0
20000118,7.3,4.8,1.2,6,0,15,0,103540,0.2
20000119,5.3,5.4,3.6,6,0.6,24,0,103700,0
20000120,9.2,1.6,-2.2,6,0,16,0,103490,0
20000121,7.8,5,0.7,5,6.2,59,0,103280,0.2
20000122,7.3,5.2,2.6,5,2.1,36,0,102070,1.2
20000123,5.8,4,0.8,5,5.4,57,0,102420,0
20000124,3.7,3.1,0.4,5,6,61,0,102540,0
20000125,6.1,0.5,-2.7,6,0.8,28,0,102940,0
20000126,5.2,3.2,0.2,3,7.2,68,0,103270,0
20000127,10.8,0.8,-3.5,0,8.1,74,0,102970,0
20000128,13.5,4.5,-1.8,7,0.1,20,0,101480,2.2
20000129,12.9,8.4,3.4,7,3.3,49,0,100030,0
20000130,12.7,11.6,10.4,7,0.3,24,0,101290,0
20000131,10.7,11.5,10.3,7,0.3,25,0,102010,0
20000201,10.6,9.9,9.1,8,0,19,0,101520,9.8
20000202,9.3,8.2,5.8,4,6.9,74,0,102110,0
20000203,11,6,2.7,7,0.5,28,0,103320,0
20000204,11.6,7.8,4.7,7,0,20,0,103190,0
